id,nama_file_gambar,pilar_konten,judul_konten,headline_caption,isi_caption,call_to_action,hashtags,rekomendasi_waktu_post,jadwal_tayang,status_post
1,03_kemasan_depan_belakang.jpg | 07_foto_detail_label_pirt_halal.jpg | dokumen_sertifikat_halal_id33110018517710724.png,Trust & Legalitas Resmi,100% Halal Resmi BPJPH & Higienis,🛡️ 100% JAMINAN HALAL & HIGIENIS - BAWANG GORENG JURAGAN 🛡️,Ketenangan konsumsi keluarga adalah prioritas utama kami! Bawang Goreng Juragans by Anak Bawang telah resmi mengantongi Sertifikat HALAL Indonesia (ID33110018517710724). Dibuat dari bawang merah segar Cepogo Boyolali dengan penirisan minyak modern sekali pakai demi rasa gurih bersih tanpa serik di tenggorokan.,Klik link di bio untuk order via WhatsApp Admin Official Juragans (0821-3373-1213) atau TikTok Shop Official Store! 🚚✨,#sertifikathalal #bawanggorenghalal #juragansanakbawang #bawanggorengboyolali #kulinerhalal #bawangmurni #halalindonesia,Senin 09:00 WIB,2026-08-03 09:00,POSTED
2,04_foto_saran_penyajian_bakso_soto.png | 09_foto_produk_pouch_bakso_marmer.png | 05_foto_saran_penyajian_nasi_goreng.jpg | 08_taburan_nasi_goreng_kayu.jpg,ASMR & Appetizing (Food Pairing),Rahasia Kuah Bakso & Soto Enaknya Naik 2x Lipat,🍜 RAHASIA KUAH BAKSO & SOTO ENAKNYA NAIK 2X LIPAT! 🍜,"Mau Bakso kuah gurih atau Soto Ayam hangat, rahasia kelezatan hakiki ada pada aroma bawang gorengnya! Bawang Goreng Juragan dibuat dari 100% bawang murni pilihan yang bikin aroma kuah makin wangi, gurih, dan nagih.",Tabur Bawang Juragan di mangkukmu hari ini! Cek promo di link bio 🔗,#bakso #sotoayam #bawanggoreng #bawangjuragan #kulinersolo #kulinerjogja #kulinernusantara #makananindonesia #taburanmakanan,Rabu 12:00 WIB,2026-08-05 12:00,POSTED
3,01_foto_utama_produk_pouch_studio.jpg | 02_foto_produk_dua_pouch_marmer.png | 06_foto_flatlay_bahan_dan_kemasan.jpg,B2B & Suplai Usaha Kuliner,Suplai Rutin Restoran Rumah Makan & Katering,🏆 MENJAGA CITA RASA LEGENDARIS RESTORAN & USAHA KULINERMU! 🏆,Konsistensi rasa adalah kunci sukses bisnis kuliner. Bawang Goreng Juragans siap menyuplai kebutuhan dapur usaha Anda dengan harga grosir langsung dari rumah produksi Cepogo Boyolali.,Pemilik usaha kuliner? Hubungi Admin Official Juragans di WhatsApp (0821-3373-1213) untuk klaim Sampel Gratis! 📲,#supplierbawanggoreng #horeca #suplierkuliner #usahabakso #usahasoto #katering #grosirbawanggoreng #bawangjuragan #anakbawang,Jumat 14:00 WIB,2026-08-07 14:00,POSTED
4,Konten2_taburan_bakso_1080p.mp4,Cinematic Heritage & Brand Storytelling (Reels Video),Warisan Rasa dari Boyolali — Bawang Goreng Premium Asli Indonesia,🧅✨ BUKAN SEKADAR BAWANG GORENG. INI WARISAN RASA DARI BOYOLALI. 🧅✨,"Bukan sekadar bawang goreng. Ini warisan rasa dari Boyolali. Digoreng renyah, gurih maksimal, 100% bawang asli Indonesia — tanpa campuran, tanpa kompromi. Cocok buat pelengkap bakso, mi ayam, nasi goreng, sampai bekal usaha kamu.","Order sekarang, stok terbatas! 📩 DM / WA kami untuk harga grosir & Grade A/B/Murni. Admin Official Juragans (0821-3373-1213) 🛒🔥",#JuraganBawangGoreng #BawangGorengBoyolali #KulinerSolo #UMKMIndonesia #BawangGorengPremium #bawanggoreng #bawangmurni #kulinerwarisan #reelsindonesia #asmrfood,Minggu 18:00 WIB,2026-08-10 18:00,DRAFT
5,poster_key_visual_heritage_2k.jpeg,Brand Key Visual (Single Image Post),Juragan Bawang Goreng — Premium Heritage Boyolali,🧅🔥 JURAGAN BAWANG GORENG — PREMIUM HERITAGE BOYOLALI 🔥🧅,"Renyah legendaris dari Cepogo Boyolali. 100% bawang merah asli Indonesia, tanpa pengawet, tanpa campuran. Satu taburan langsung bikin masakanmu naik level.","Pesan sekarang! WA Admin Official Juragans (0821-3373-1213) atau kunjungi TikTok Shop kami 🛒 Link di bio!",#JuraganBawangGoreng #BawangGorengBoyolali #BawangGorengPremium #UMKMIndonesia #KulinerSolo #bawanggoreng #bawangmurni #foodphotography #premiumfood,Selasa 11:00 WIB,2026-08-12 11:00,DRAFT
6,Konten3_cascade_slowmo.mp4,Cinematic ASMR Slow-Motion (Reels Video),Setiap Helai Dipilih Cermat — Warisan Rasa Boyolali,✨ Setiap helai... dipilih dengan cermat. ✨,"Setiap helai dipilih dengan cermat. Digoreng perlahan hingga renyah sempurna. Ini bukan sekadar bawang goreng — ini warisan rasa Boyolali. 100% bawang merah asli Indonesia tanpa campuran. Satu taburan dan masakanmu langsung bercerita.","Juragan Bawang Goreng. Pesan sekarang 📩 WA Admin Official (0821-3373-1213) atau TikTok Shop 🛒 Link di bio!",#JuraganBawangGoreng #BawangGorengBoyolali #BawangGorengPremium #asmrfood #slowmotion #foodcinematic #bawanggoreng #kulinerwarisan #UMKMIndonesia #reelsindonesia #foodasmr,Kamis 19:00 WIB,2026-08-14 19:00,DRAFT
7,Konten4_tissue_test_bebas_minyak.mp4,Health & Product Benefit (Reels Video),Rahasia Bawang Goreng Gurih Bersih Tanpa Bikin Leher Serik,🧅✨ RAHASIA BAWANG GORENG YANG GAK BIKIN LEHER SERIK! ✨🧅,"Sering bikin leher gatal atau enek karena bawang goreng yang penuh jelantah minyak? Di Juragan by Anak Bawang, kami gunakan 100% Bawang Merah Murni Boyolali yang diproses dengan penirisan minyak modern sekali pakai. Hasilnya: renyah murni, bebas noda minyak membandel, dan gurih bersih tanpa pengawet.","Pesan sekarang & rasakan bedanya! 📩 DM / WA Admin Official (0821-3373-1213) atau checkout di TikTok Shop! 🛒🔥",#JuraganBawangGoreng #BawangGorengBoyolali #BawangMurni #KulinerSolo #UMKMIndonesia #BawangGorengPremium #FoodASMR #ReelsIndonesia,Sabtu 19:00 WIB,2026-08-16 19:00,DRAFT



